id,title,genre,releaseYear
1,인터스텔라,SF,2014
2,인셉션,SF,2010
3,듄,SF,2021
4,듄 파트2,SF,2024
5,컨택트,SF,2016
6,마션,SF,2015
7,테넷,SF,2020
8,기생충,드라마,2019
9,서울의봄,드라마,2023
10,오펜하이머,드라마,2023
11,위플래쉬,드라마,2014
12,조커,드라마,2019
13,남산의부장들,드라마,2020
14,미나리,드라마,2020
15,어벤져스,액션,2012
16,어벤져스 엔드게임,액션,2019
17,탑건 매버릭,액션,2022
18,범죄도시2,액션,2022
19,범죄도시3,액션,2023
20,스파이더맨 노웨이홈,액션,2021
21,존윅4,액션,2023
22,어바웃타임,로맨스,2013
23,라라랜드,로맨스,2016
24,너의이름은,애니메이션,2016
25,날씨의아이,애니메이션,2019
26,스즈메의문단속,애니메이션,2022
27,코코,애니메이션,2017
28,소울,애니메이션,2020
29,엘리멘탈,애니메이션,2023
30,극한직업,코미디,2019
31,엑시트,코미디,2019
32,육사오,코미디,2022
33,정직한후보,코미디,2020
34,나이브스아웃,스릴러,2019
35,나이브스아웃 글래스어니언,스릴러,2022
36,헤어질결심,스릴러,2022
37,곡성,스릴러,2016
38,잠,스릴러,2023
39,베테랑,범죄,2015
40,독전,범죄,2018
41,헌트,범죄,2022
42,한산,전쟁,2022
43,노량,전쟁,2023
44,해리포터와죽음의성물2,판타지,2011
45,신비한동물사전,판타지,2016
46,신과함께 죄와벌,판타지,2017
47,신과함께 인과연,판타지,2018
48,알라딘,뮤지컬,2019
49,위대한쇼맨,뮤지컬,2017
50,영웅,뮤지컬,2022
