userId,movieId,score
u1,1,5
u1,2,5
u1,3,5
u1,4,4.5
u1,5,4
u1,6,4.5
u1,7,4
u1,8,3.5
u1,10,4
u1,20,4
u2,1,5
u2,2,4.5
u2,3,5
u2,4,5
u2,5,4.5
u2,6,4
u2,9,4
u2,10,4.5
u2,17,4
u2,21,4
u3,1,4.5
u3,2,5
u3,3,4.5
u3,4,5
u3,5,5
u3,6,4
u3,7,4.5
u3,11,4
u3,24,4
u3,29,4
u4,15,4.5
u4,16,5
u4,17,5
u4,18,4.5
u4,19,4
u4,20,5
u4,21,5
u4,39,4
u4,41,4.5
u4,42,4
u5,15,4
u5,16,5
u5,17,5
u5,18,5
u5,19,4.5
u5,20,4.5
u5,21,5
u5,31,4
u5,39,4.5
u5,40,4
u6,8,5
u6,9,5
u6,10,4.5
u6,11,5
u6,12,4.5
u6,13,4
u6,14,4.5
u6,36,4
u6,42,4
u6,43,4
u7,8,4.5
u7,9,5
u7,10,5
u7,11,5
u7,12,4
u7,13,4.5
u7,14,5
u7,23,4
u7,36,4.5
u7,50,4
u8,22,5
u8,23,5
u8,24,5
u8,25,4.5
u8,26,5
u8,27,4.5
u8,28,4
u8,29,5
u8,48,4
u8,49,4.5
u9,22,4.5
u9,23,5
u9,24,5
u9,25,5
u9,26,4.5
u9,27,5
u9,28,4.5
u9,29,5
u9,30,3.5
u9,48,4
u10,30,5
u10,31,5
u10,32,4.5
u10,33,4
u10,15,4
u10,18,4
u10,22,4
u10,23,4.5
u10,27,4
u10,48,4
u11,34,5
u11,35,4.5
u11,36,5
u11,37,4.5
u11,38,4
u11,39,4.5
u11,40,4
u11,41,4.5
u11,8,4
u11,12,4
u12,1,4
u12,8,4.5
u12,15,4
u12,22,4.5
u12,24,4
u12,30,4
u12,34,4
u12,44,4.5
u12,48,5
u12,49,5
u13,24,4.5
u13,25,4
u13,26,5
u13,27,5
u13,28,4.5
u13,29,5
u13,44,5
u13,45,4
u13,46,4.5
u13,47,4.5
u14,8,5
u14,9,5
u14,13,4.5
u14,18,4.5
u14,19,4
u14,39,4.5
u14,41,5
u14,42,4.5
u14,43,4
u14,50,4
u15,11,5
u15,23,5
u15,30,4
u15,31,4
u15,34,4.5
u15,36,4.5
u15,48,5
u15,49,5
u15,50,4.5
u15,10,4
